Name,Address,POINT_X,POINT_Y
Hastings Park Tennis Court #1,1428 Hastings Dr,478544.636,4763735.9689
Hastings Park Tennis Court #3,1428 Hastings Dr,478572.3913,4763741.6863
Mitches Park Tennis Court #2,640 Upper Queen St,480716.8107,4755208.6156
Mitches Park Tennis Court #1,640 Upper Queen St,480703.1452,4755207.6133
Mitches Park Tennis Court #3,640 Upper Queen St,480730.7381,4755209.8098
White Oaks Park Tennis Court #1,1394 Ernest Ave,480851.8594,4753302.8783
White Oaks Park Tennis Court #2,1394 Ernest Ave,480865.7681,4753307.4955
Flanders Park Tennis Court #1,145 Rhine Ave,482704.465,4761856.9088
Boyle Park Tennis Court #1,1010 Princess Ave,482225.4834,4760551.3773
Boyle Park Tennis Court #2,1010 Princess Ave,482220.756,4760562.9859
Boyle Park Tennis Court #3,1010 Princess Ave,482216.216,4760575.5588
Piccadilly Park Tennis Court #2,695 Waterloo St,479795.9668,4760221.8288
Piccadilly Park Tennis Court #1,695 Waterloo St,479810.6328,4760227.0104
North London Optimist Community Centre Tennis Court #2,1345 Cheapside St,482883.3387,4762433.7367
North London Optimist Community Centre Tennis Court #1,1345 Cheapside St,482868.5427,4762427.642
North London Optimist Community Centre Tennis Court #3,1345 Cheapside St,482895.6365,4762439.2679
North London Optimist Community Centre Tennis Court #6,1345 Cheapside St,482878.8092,4762394.5117
North London Optimist Community Centre Tennis Court #5,1345 Cheapside St,482894.3588,4762401.0934
North London Optimist Community Centre Tennis Court #4,1345 Cheapside St,482907.8127,4762405.9515
Glanworth Park Tennis Court #1,6536 Bradish Rd,484137.555,4745895.0314
Ambleside Park Tennis Court #1,257 Ambleside Dr,476117.4487,4762848.599
Ambleside Park Tennis Court #2,257 Ambleside Dr,476131.486,4762847.0226
Carroll Park Tennis Court #1,270 Ellerslie Rd,485409.6041,4756305.2744
Carroll Park Tennis Court #2,270 Ellerslie Rd,485423.761,4756307.5618
Thames Park Tennis Court #3,15 Ridout St S,479457.7559,4758231.1538
Thames Park Tennis Court #1,15 Ridout St S,479418.3485,4758238.3824
Thames Park Tennis Court #2,15 Ridout St S,479432.9052,4758236.8339
Thames Park Tennis Court #4,15 Ridout St S,479471.735,4758224.5904
St. Julien Park Tennis Court #2,15 Tommy Hunter Way,483636.9715,4757978.3112
St. Julien Park Tennis Court #1,15 Tommy Hunter Way,483651.0681,4757983.5243
Foxfield District Park Tennis Court #1,2384 Buroak Dr,473512.9671,4763893.822
Foxfield District Park Tennis Court #2,2384 Buroak Dr,473527.4146,4763899.3057
