Name,Address,POINT_X,POINT_Y
River Forks Park Swing Set #1,17 Becher St,478830.3038,4758673.4856
Nelson Park Swing Set #1,142 Kipling Ave,486913.6608,4760675.4486
Ralph Hamlyn Park Swing Set #1,83 Dennis Ave,476584.8117,4750639.73
Ambleside Park Swing Set #1,257 Ambleside Dr,476172.7029,4762797.6596
Cayuga Park Swing Set #1,64 Cayuga Cres,484154.9915,4764323.6498
Nicholas Wilson Park Swing Set #1,16 Fitzroy Pl,482396.0622,4754118.3207
Heritage Park Swing Set #1,150 Bexhill Dr,483719.7386,4754411.2634
Thames Park Swing Set #1,15 Ridout St S,479412.16,4758153.2157
St. Julien Park Swing Set #1,15 Tommy Hunter Way,483772.1882,4758091.419
Ivey Park Swing Set #1,331 Thames St,479102.2334,4758786.1068
Lambeth Centennial Park Swing Set #1,7112 Beattie St,475163.8941,4750791.4199
Helen Mott Shaw Park Swing Set #1,71 Grasmere Cres,476772.4019,4762931.2762
Carling Heights Optimist Community Centre Swing Set #1,656 Elizabeth St,481264.8563,4760649.3703
Highland Woods Swing Set #1,324 Highview Ave E,479209.0749,4755262.0527
Vauxhall Park Swing Set #1,54 Price St,483077.0172,4758029.0995
Virginia Park Swing Set #1,225 Chambers Ave,478274.4717,4764912.9757
Summercrest Park Swing Set #1,30 Alomar Dr,472557.4989,4753950.6873
Meander Creek Park Swing Set #1,905 Blackmaple Crt,481077.521,4763875.8109
Cavendish Park Swing Set #1,136 Cavendish Cres,478185.3368,4758807.5557
Thamesridge Park Swing Set #1,1605 Shore Rd,471218.7571,4757514.8358
Cheltenham Park Swing Set #1,43 Cheltenham Rd,473244.8922,4759007.7203
Cantebury Park Swing Set #1,99 Prince Of Wales Gate,472979.4571,4760124.73
Dalkeith Park Swing Set #1,806 Dalkeith Ave,480403.3721,4764915.3616
Plane Tree Park Swing Set #1,214 Plane Tree Dr,476115.282,4764091.3935
Carroll Park Swing Set #1,270 Ellerslie Rd,485452.4283,4756531.1141
Northbrook Park Swing Set #1,2135 Blackwater Rd,478494.2924,4765584.869
Scenic View Park Swing Set #1,80 Chalet Cres,471799.2893,4755203.0552
Greenway Park Swing Set #2,50 Greenside Ave,476462.3478,4757866.7662
Heron Haven Park Swing Set #1,204 Skyline Ave,477132.835,4765293.5829
Wenige Park Swing Set #1,1251 South Wenige Dr,480045.1295,4765977.2932
Capulet Park Swing Set #1,40 Capulet Lane,475686.6968,4759254.9017
Stephens Farm Park Swing Set #1,887 South Wenige Dr,479413.5294,4766044.8243
Bonaventure Meadows Park Swing Set #1,150 Vaubois Pl,487119.6232,4761305.1289
 Paul Haggis Swing Set #1,2875 Bateman Trail,479170.8061,4753525.8149
Byron Hills Park Swing set #1,955 Byronmanor Rd,473908.57,4753846.9776
Beaverbrook Woods Swing Set #1,780 Mapleridge St,475184.8992,4759588.2618
Medway Park Swing Set #1,1051 Wonderland Rd N,475284.4269,4761145.6419
Huntington Park Swing Set #1,63 Meadowridge Rd,474913.876,4759029.4473
Riverbend Park Swing Set #1,1585 Riverbend Rd,470289.5426,4757866.9088
Coronation Park North Swing Set #1,1965 Coronation Dr,473326.4247,4761430.8943
Talbot Park Swing Set #1,3470 Settlement Trail,475000.3709,4753433.1944
Maple Grove Park Swing Set #1,1260 Coronation Dr,473719.9102,4760397.4454
Earl Nichols Park and Arena Swing Set #1,799 Homeview Rd,479372.8787,4754727.877
Lambeth Optimist Park Swing Set #1,4200 Campbell St N,476106.6399,4751427.4383
Meadowgate Park Swing Set #1,3155 Meadowgate Blvd,486007.6336,4755829.7293
Creekside Park Swing Set #1,1480 Privet Pl,481509.3216,4766347.2693
Whetherfield Park Swing Set #1,1115 Whetherfield St,474796.4596,4759203.2103
Pebble Creek Park Swing Set #1,125 Pebblecreek Walk,476096.4915,4765372.0762
Westbury Park Swing Set #1,3350 Singleton Ave,478196.3333,4753780.1151
Whisperwood Park Swing Set #1,211 Whisperwood Ave,473612.3672,4755038.1278
Carriage Hill Park Swing Set #1,139 Pinebrook Pl,477832.6223,4763145.1566
Trooper Mark Wilson Park Swing Set #1,2070 Wallingford Ave,474467.3243,4764037.5009
Frederick Park Swing Set #1,1940 Frederick Cres,487290.5156,4757873.3234
Foxfield District Park Swing Set #1,2384 Buroak Dr,473492.6591,4763731.5368
Westminster Optimist Park Swing Set #3,650 Osgoode Dr,483037.5492,4754472.6427
Blackacres Park Swing Set #1,595 Blackacres Blvd,473475.5317,4761901.6898
Oakland Avenue Park Swing Set #1,235 Oakland Ave,483317.2487,4759912.6183
Powell Park Swing Set #1,800 Superior Dr,478003.5002,4766217.8298
Glen Cairn Park - East Swing Set #1,170 Helena Ave,482642.4755,4756943.9141
Cedar Hollow Park Swing Set #1,564 Killarney Rd,482291.0025,4765417.9596
Forest Hill Park Swing Set #2,1955 Rollingacres Dr,479422.3005,4766694.1314
