Name,Address,POINT_X,POINT_Y
Holy Rosary Separate School Soccer Field #1,268 Herkimer St,481196.7528,4757193.0599
John Dearness Public School Soccer Field #1,555 Sanatorium Rd,473170.9203,4757045.7183
John P. Robarts Public School Soccer Field #2,84 Bow St,487002.6965,4759597.3409
John P. Robarts Public School Soccer Field #1,84 Bow St,487055.6334,4759710.2068
John Paul II Secondary School Soccer Field #1,1300 Oxford St E,483175.7563,4761936.3074
Lord Elgin Public School Soccer Field #1,1100 Victoria Dr,481655.5795,4762456.0807
Lord Nelson Public School Soccer Field #1,1990 Royal Cres,486427.0633,4760828.2296
Lucas Secondary School Soccer Field #3,656 Tennent Ave,479725.9275,4764268.2602
Masonville Public School Soccer Field #1,25 Hillview Blvd,476755.3942,4763631.6265
Montcalm Secondary School Soccer Field #2,1350 Highbury Ave N,482580.7797,4763482.1148
Nicholas Wilson Public School Soccer Field #2,927 Osgoode Dr,482325.1827,4754042.2743
Nicholas Wilson Public School Soccer Field #3,927 Osgoode Dr,482318.3742,4754067.18
Nicholas Wilson Public School Soccer Field #1,927 Osgoode Dr,482324.7569,4753990.5122
Oakridge Secondary School Soccer Field #4,1040 Oxford St W,474398.0128,4758118.5534
Princess Elizabeth Public School Soccer Field #1,247 Thompson Rd,481965.28,4757147.8188
Rick Hansen Public School Soccer Field #1,70 Ponderosa Cres,481098.0364,4753837.6686
Riverside Public School Soccer Field #1,550 Pinetree Dr,475154.054,4758069.1936
Robarts School for the Deaf Soccer Field #1,1090 Highbury Ave N,482940.7863,4762093.6444
Ryerson Public School Soccer Field #1,940 Waterloo St,479572.5529,4761313.6352
Sherwood Forest Public School Soccer Field #1,7 Annadale Dr,475617.2333,4761526.1368
Sir Georges Etienne Cartier Public School Soccer Field #2,695 Chiddington Ave,480926.1073,4755739.8711
Sir Georges Etienne Cartier Public School Soccer Field #1,695 Chiddington Ave,480865.1359,4755775.3435
South Secondary School Soccer Field #1,371 Tecumseh Ave e,480234.778,4757319.2637
St. Anne Separate School Soccer Field #1,1366 Huron St,482700.8586,4763286.8706
St. Anthony Separate School Soccer Field #1,1380 Ernest Ave,480950.4175,4753209.0963
St. Bernadette Separate School Soccer Field #1,155 Tweedsmuir Ave,485022.7404,4758744.0171
St. Francis Separate School Soccer Field #1,690 Osgoode Dr,483038.5143,4754641.5619
St. Jude Separate School Soccer Field #1,690 Viscount Rd,478112.6714,4755097.0838
St. Mark Separate School Soccer Field #1,1440 Glenora Dr,480808.7056,4764777.3825
St. Mark Separate School Soccer Field #2,1440 Glenora Dr,480842.385,4764705.6113
St. Michael Separate School Soccer Field #1,926 Maitland St,480150.0433,4761247.016
St. Paul Separate School Soccer Field #2,1090 Guildwood Blvd,473959.2276,4758359.0598
St. Paul Separate School Soccer Field #1,1090 Guildwood Blvd,473938.4908,4758413.0812
St. Pius X Separate School Soccer Field #1,255 Vancouver St,484910.5885,4760022.4645
St. Robert Separate School Soccer Field #1,1958 Duluth Cres,486381.7739,4760242.3743
St. Sebastian Separate School Soccer Field #1,225 Cairn St,483254.1938,4756860.218
St. Thomas More Separate School Soccer Field #1,18 Wychwood Pk,476463.4182,4760762.3695
Tweedsmuir Public School Soccer Field #1,349 Tweedsmuir Ave,485381.8042,4758759.2637
University of Western Ontario Soccer Field #1,Huron Dr (pvt),477684.5367,4760832.0542
W.D. Sutton Public School Soccer Field #1,1250 Dundas St,483150.4798,4760608.9422
Westminster Central Public School Soccer Field #1,2835 Westminster Dr,483772.1512,4749807.9853
Westminster Secondary School Soccer Field #2,230 Base Line Rd W,477310.7262,4756505.3756
Westmount Public School Soccer Field #1,1011 Viscount Rd,476016.3494,4754642.814
Springbank Park Soccer Field #4 - Mini,1085 Commissioners Rd W,473391.813,4756272.6808
Springbank Park Soccer Field #1 - Mini,1085 Commissioners Rd W,473025.9806,4756369.756
Springbank Park Soccer Field #2 - Mini,1085 Commissioners Rd W,473017.8885,4756421.8008
Springbank Park Soccer Field #3 - Mini,1085 Commissioners Rd W,472937.0326,4756457.8002
West Lions Park Soccer Field #1,20 Grandville St,478213.7369,4759323.515
Silverwoods Park Soccer Field #1,50 Sycamore St,483267.4909,4759066.7609
Carling Park Soccer Field #1 - Mini,675 Grosvenor St,480928.7441,4761311.4809
Carling Park Soccer Field #3 - Mini,675 Grosvenor St,480798.3323,4761310.8872
Carling Park Soccer Field #2 - Mini,675 Grosvenor St,480868.2215,4761286.574
East Lions Park Soccer Field #1,1731 Churchill Ave,485092.1983,4760418.8562
Jorgenson Park Soccer Field #1 - Mini,1308 Norman Ave,472704.9554,4755913.018
University Heights Park Soccer Field #1 - Mini,290 Trott Dr,477083.849,4760153.4103
Oak Park Soccer Field #1,1207 Royal York Rd,473368.2454,4758279.5111
St. Stephen's Park Soccer Field #1 - Mini,1030 Mitchel St,481846.8964,4753692.9439
Kensal Park Soccer Field #1 - Mini,150 Chelsea Ave,477053.9107,4757923.8886
Kensal Park Soccer Field #2 - Mini,150 Chelsea Ave,476915.9564,4757887.0795
Chelsea Green Park Soccer Field #1,1 Adelaide St S,481427.3055,4757966.6747
Greenway Park Soccer Field #5,50 Greenside Ave,477779.8435,4758200.2259
Greenway Park Soccer Field #1 - Mini,50 Greenside Ave,477858.0663,4758295.8669
Greenway Park Soccer Field #4 - Mini,50 Greenside Ave,476687.3189,4758076.9302
Greenway Park Soccer Field #3,50 Greenside Ave,476575.8116,4758045.3578
Greenway Park Soccer Field #2,50 Greenside Ave,477709.8556,4758282.6456
St. Lawrence Park Soccer Field #1 - Mini,5 St. Lawrence Blvd,478400.9624,4754798.0224
Westminster Optimist Park Soccer Field #1 - Mini,650 Osgoode Dr,483110.6158,4754474.1402
Westmount Lions Park Soccer Field #1,784 Viscount Rd,477170.1343,4755247.2182
Grand View Park Soccer Field #1 - Mini, 385 Grandview Ave,471858.8111,4756141.6716
Ted Early Sports Complex Soccer Field #3,1375 Clarke Rd,484256.0999,4764421.0168
Ted Early Sports Complex Soccer Field #2,1375 Clarke Rd,484338.5121,4764448.589
Ted Early Sports Complex Soccer Field #1,1375 Clarke Rd,484420.5982,4764486.419
Cleardale Park Soccer Field #2,817 Nixon Ave,480510.5788,4754648.0003
Constitution Park Soccer Field #1,725 Grenfell Dr,479886.7915,4765311.9798
Stoneybrook Recreation Field Soccer Field #1,815 Windermere Rd,479906.3239,4763317.3938
White Oaks Park Soccer Field #1,1119 Jalna Blvd,481113.5552,4753224.7273
White Oaks Park Soccer Field #3 - Mini,1394 Ernest Ave,480758.6784,4753299.5912
White Oaks Park Soccer Field #2 - Mini,1394 Ernest Ave,480804.6799,4753301.8081
Gainsborough Meadows Soccer Field #1,102 Brandy Lane Rd,474392.5725,4760671.7532
Hazelden Park Soccer Field #1,430 Hyde Park Rd,474202.992,4757051.5809
Ed Blake Park Soccer Field #1,449 Barker St,480983.5589,4762726.8115
White Oaks Optimist Park Soccer Field #1,560 Bradley Ave,481037.561,4753652.0164
Chesham Heights Park Soccer Field #1 - Mini,328 Castlegrove Blvd,476476.981,4760364.2097
Belmont Park Soccer Field #1,741 Lenore St,478645.7122,4754775.3219
Earl Nichols Park And Arena Soccer Field #1 - Mini,799 Homeview Rd,479431.1178,4754731.2777
North London Athletic Fields Soccer Field #2,1225 Adelaide St N,479578.0413,4762900.7903
North London Athletic Fields Soccer Field #4,1225 Adelaide St N,479342.5427,4762748.7682
North London Athletic Fields Soccer Field #3,1225 Adelaide St N,479444.9695,4762874.001
North London Athletic Fields Soccer Field #1,1225 Adelaide St N,479616.5893,4762805.6726
Naiomi Almeida Park Soccer Field #1 - Mini,828 Deveron Cres,484200.6512,4757219.0576
Jesse Davidson Park Soccer Field #1,731 Viscount Rd,477414.1871,4754730.272
Jesse Davidson Park Soccer Field #2,731 Viscount Rd,477274.5805,4754731.9301
Southwest Optimist Park Soccer Field #1,682 Southdale Rd W,475601.6071,4754081.571
Southwest Optimist Park Soccer Field #2,682 Southdale Rd W,475588.7952,4754154.9716
Whisperwood Park Soccer Field  #1 - Mini,211 Whisperwood Ave,473555.0342,4754998.8854
Cresthaven Park Soccer Field #1,104 Parks Edge Cres,474851.4908,4755005.2974
Cheswick Park Soccer Field #1 - Mini,88 Lacey Cres,480423.8225,4752933.4198
Windermere Fields Soccer Field #2,745 Windermere Rd,479697.4796,4763239.2368
Windermere Fields Soccer Field #3,745 Windermere Rd,479723.138,4763168.0357
Windermere Fields Soccer Field #1,745 Windermere Rd,479661.9772,4763322.1087
Jaycee Park Soccer Field #1 - Mini,1830 Aldersbrook Rd,473982.6539,4762338.8458
Ralph Hamlyn Park Soccer Field #1 - Mini,83 Dennis Ave,476620.596,4750623.4958
